Date,Amount,Category,Description
2025-02-21,500.0,Bills,Movie
2025-01-15,120.0,Shopping,Electricity bill
2025-03-13,1000.0,0,Lunch
2025-03-02,2000.0,Transport,Electricity bill
2025-01-21,1000.0,Bills,Lunch
2025-03-24,300.0,Bills,Lunch
2025-03-28,500.0,Transport,0
2025-03-16,800.0,0,Groceries
2025-03-16,50.0,Transport,Clothes
2025-03-29,0.0,Bills,Electricity bill
2025-01-24,800.0,Transport,Movie
2025-01-03,500.0,Bills,Lunch
2025-01-22,500.0,Bills,Groceries
2025-02-22,500.0,Shopping,Bus fare
2025-01-02,800.0,Food,Gym
2025-03-29,2000.0,Bills,0
2025-01-30,500.0,0,Clothes
2025-02-07,1000.0,Entertainment,Doctor visit
2025-01-02,800.0,Health,0
2025-03-05,0.0,Other,Bus fare
2025-03-01,500.0,Food,Gym
2025-01-21,1000.0,Food,Bus fare
2025-02-02,2000.0,Food,Electricity bill
2025-03-17,300.0,Shopping,Lunch
2025-02-27,2000.0,Bills,Clothes
2025-01-22,0.0,Shopping,Snacks
2025-03-30,500.0,Bills,Lunch
2025-02-18,0.0,0,Snacks
2025-02-28,800.0,Shopping,Gym
2025-02-11,120.0,Shopping,Groceries
2025-03-01,500.0,Health,Doctor visit
2025-03-21,120.0,Entertainment,Movie
2025-01-15,1000.0,Shopping,Lunch
2025-03-03,300.0,Health,Clothes
2025-03-03,50.0,Transport,Bus fare
2025-02-16,0.0,Entertainment,Clothes
2025-03-03,2000.0,0,Gym
2025-02-20,300.0,Shopping,Snacks
2025-02-24,500.0,Other,Bus fare
2025-03-05,120.0,Food,Movie
2025-01-03,2000.0,Transport,Movie
2025-02-20,120.0,Transport,Lunch
2025-01-07,800.0,0,Gym
2025-01-21,120.0,Health,Groceries
2025-03-14,800.0,Transport,Gym
2025-02-08,1000.0,Entertainment,Snacks
2025-01-18,2000.0,Shopping,Clothes
2025-01-04,2000.0,Shopping,Movie
2025-03-30,50.0,Other,Clothes
2025-03-01,500.0,0,Clothes
2025-01-14,800.0,Food,Clothes
2025-01-09,50.0,Health,Movie
2025-03-31,120.0,Food,0
2025-02-22,120.0,Transport,Electricity bill
2025-01-02,50.0,0,Snacks
2025-03-25,2000.0,Other,0
2025-03-01,120.0,Food,Snacks
2025-03-12,0.0,Entertainment,Bus fare
2025-02-13,1000.0,Shopping,Gym
2025-01-08,1000.0,Transport,Gym
2025-02-16,0.0,Other,Doctor visit
2025-02-04,50.0,Food,Gym
2025-03-19,0.0,Health,Movie
2025-03-22,800.0,Entertainment,Groceries
2025-02-05,800.0,Entertainment,Lunch
2025-02-19,50.0,Food,Doctor visit
2025-01-04,0.0,Shopping,Lunch
2025-01-02,800.0,Food,Snacks
2025-01-06,2000.0,Transport,Lunch
2025-02-23,0.0,Food,Lunch
2025-01-04,2000.0,Entertainment,Doctor visit
2025-02-23,800.0,Other,Bus fare
2025-03-04,1000.0,Food,Clothes
2025-01-18,800.0,Shopping,Gym
2025-03-31,2000.0,0,Gym
2025-02-13,300.0,Other,Movie
2025-02-03,500.0,Health,Doctor visit
2025-03-15,120.0,Bills,Movie
2025-03-03,0.0,Food,Groceries
2025-01-14,300.0,Shopping,Groceries
2025-02-17,800.0,Other,Movie
2025-01-15,1000.0,Shopping,Doctor visit
2025-03-13,50.0,Health,Movie
2025-03-19,800.0,Entertainment,Gym
2025-03-28,1000.0,Shopping,0
2025-03-03,500.0,Other,Electricity bill
2025-02-09,800.0,Shopping,Lunch
2025-03-26,2000.0,Shopping,Electricity bill
2025-03-21,50.0,Shopping,Doctor visit
2025-03-23,1000.0,Transport,Electricity bill
2025-02-22,1000.0,Transport,Groceries
2025-01-24,1000.0,Entertainment,Snacks
2025-01-26,500.0,Food,Lunch
2025-03-30,800.0,Shopping,Clothes
2025-03-01,500.0,Health,Doctor visit
2025-02-10,0.0,Food,Lunch
2025-01-29,120.0,Health,Electricity bill
2025-01-15,120.0,Food,Groceries
2025-02-14,0.0,Entertainment,Bus fare
2025-03-06,800.0,Shopping,0
2025-03-30,2000.0,Shopping,Clothes
2025-03-12,500.0,Bills,0
2025-01-09,50.0,Health,Lunch
2025-03-29,1000.0,Food,Groceries
2025-01-01,1000.0,Food,Groceries
2025-01-08,800.0,0,Electricity bill
2025-03-29,2000.0,0,Gym
2025-03-04,120.0,Transport,Electricity bill
2025-01-11,120.0,Bills,Gym
2025-03-22,1000.0,Other,Gym
2025-01-08,800.0,0,Clothes
2025-02-04,500.0,Other,Electricity bill
2025-02-04,120.0,Transport,Bus fare
2025-02-02,500.0,Transport,Movie
2025-01-05,2000.0,Transport,Movie
2025-02-10,120.0,Health,Electricity bill
2025-01-28,120.0,Health,Electricity bill
2025-01-07,300.0,Entertainment,0
2025-03-14,120.0,Entertainment,Clothes
2025-03-13,0.0,Transport,Electricity bill
2025-01-12,50.0,Bills,0
2025-02-03,0.0,Food,Gym
2025-02-02,800.0,Health,Groceries
2025-02-17,800.0,Bills,Groceries
2025-01-23,500.0,Shopping,Gym
2025-03-03,0.0,Health,Doctor visit
2025-03-29,0.0,Health,0
2025-02-06,0.0,Entertainment,0
2025-02-13,2000.0,Food,Gym
2025-03-27,120.0,Food,Bus fare
2025-02-04,50.0,0,Snacks
2025-03-06,500.0,Other,Lunch
2025-02-16,0.0,Other,Gym
2025-03-19,0.0,Other,Electricity bill
